Fifty2525,Business Line (group),Business Line,Date Prefix,Revenue Type Note,Adjustments Outcome,No-Adjustments Value,Date,Framework Selection Calculation,Description1,Revenue and Expense Type,Year,Value
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2012,Dedicated Taxes and Subsidies,CDOT Subsidy for Metro-North Railroad,Dedicated Taxes and Subsidies,2012,
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,Includes tolls collected from the MTA's Bridges and Tunnels,48.13829023,48.13829023,1/1/2012,Toll Revenue,B&T-Paid Debt Service,Toll Revenue,2012,48.13829023
Fares and Other Operating Revenue,Metro-North,Metro-North Railroad,,Includes farebox revenue and unused fare media.,0,0,1/1/2012,Fare Revenue,Fare Increase 2021,Fare Revenue,2012,
Fares and Other Operating Revenue,Metro-North,Metro-North Railroad,,Includes farebox revenue and unused fare media.,587.493,587.493,1/1/2012,Fare Revenue,Farebox Revenue,Fare Revenue,2012,587.493
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2012,Dedicated Taxes and Subsidies,General Transportation Account,Dedicated Taxes and Subsidies,2012,
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",0.347084528,0.347084528,1/1/2012,Dedicated Taxes and Subsidies,Investment Income,Dedicated Taxes and Subsidies,2012,0.347084528
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",10.01735929,10.01735929,1/1/2012,Dedicated Taxes and Subsidies,Local Operating Assistance,Dedicated Taxes and Subsidies,2012,10.01735929
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",23.67116484,23.67116484,1/1/2012,Dedicated Taxes and Subsidies,MTA Aid,Dedicated Taxes and Subsidies,2012,23.67116484
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",152.3467341,152.3467341,1/1/2012,Dedicated Taxes and Subsidies,Metropolitan Mass Transportation Operating Assist-Non PBT,Dedicated Taxes and Subsidies,2012,152.3467341
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",6.826230646,6.826230646,1/1/2012,Dedicated Taxes and Subsidies,Metropolitan Mass Transportation Operating Assist-PBT Portion,Dedicated Taxes and Subsidies,2012,6.826230646
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",0,0,1/1/2012,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2012,0
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2012,Dedicated Taxes and Subsidies,Nassau County Subsidy,Dedicated Taxes and Subsidies,2012,
Fares and Other Operating Revenue,Metro-North,Metro-North Railroad,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",51.428,51.428,1/1/2012,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2012,51.428
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",111.2058829,111.2058829,1/1/2012,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2012,111.2058829
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",22.42166054,22.42166054,1/1/2012,Dedicated Taxes and Subsidies,Payroll Mobility Tax Replacement Funds,Dedicated Taxes and Subsidies,2012,22.42166054
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",31.23933285,31.23933285,1/1/2012,Dedicated Taxes and Subsidies,Petroleum Business Tax Receipts,Dedicated Taxes and Subsidies,2012,31.23933285
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",10.16957669,10.16957669,1/1/2012,Dedicated Taxes and Subsidies,State Operating Assistance,Dedicated Taxes and Subsidies,2012,10.16957669
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",55.63764992,55.63764992,1/1/2012,Dedicated Taxes and Subsidies,Station Maintenance,Dedicated Taxes and Subsidies,2012,55.63764992
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,Includes tolls collected from the MTA's Bridges and Tunnels,0,0,1/1/2012,Toll Revenue,Toll Increase 2021,Toll Revenue,2012,
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2013,Dedicated Taxes and Subsidies,AMTAP,Dedicated Taxes and Subsidies,2013,
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,Includes tolls collected from the MTA's Bridges and Tunnels,139.5892359,139.5892359,1/1/2013,Toll Revenue,B&T Operating Surplus,Toll Revenue,2013,139.5892359
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",70.8,70.8,1/1/2013,Dedicated Taxes and Subsidies,CDOT Subsidy,Dedicated Taxes and Subsidies,2013,70.8
